run_id,operation,profile,mean_point_ns,mean_ci_low_ns,mean_ci_high_ns,median_point_ns,median_ci_low_ns,median_ci_high_ns
2026-08-15-m4-ac-run09,activate_receiver,MLKEM768-X25519,169598.68402369556,169102.39801370542,170040.2012445462,170556.8057795699,170181.4802631579,170678.609375
2026-08-15-m4-ac-run09,activate_sender,MLKEM1024,135018.8314953283,134748.1989061048,135321.0904879657,134371.27142857143,134332.10127949485,134452.87916666665
2026-08-15-m4-ac-run09,activate_sender,MLKEM768,88375.86794795394,88304.87480925774,88454.50956809442,88338.38932291667,88318.33602821486,88360.91666666667
2026-08-15-m4-ac-run09,activate_sender,MLKEM768-X25519,121877.19727809234,121812.00131888526,121944.28557320943,121837.7960978836,121820.13063063064,121856.38657407407
2026-08-15-m4-ac-run09,binding,MLKEM1024,15.840613310723034,15.80720441481152,15.874431197641085,15.836780206750156,15.829234213241902,15.844266867779211
2026-08-15-m4-ac-run09,binding,MLKEM768,15.837672301004357,15.798314168137948,15.883178051620588,15.837553726726952,15.834617742115235,15.842374272666358
2026-08-15-m4-ac-run09,binding,MLKEM768-X25519,15.910263953621293,15.865526086053668,15.958063000027318,15.846561190591704,15.838158641937344,15.86878469560345
2026-08-15-m4-ac-run09,establish_channel,MLKEM1024,332670.4900161348,332470.64941427135,332909.70399288426,332435.7046703297,332323.74226804124,332505.66086827236
2026-08-15-m4-ac-run09,establish_channel,MLKEM768,218874.02615102078,218730.44434630102,219066.27221821182,218738.31257763976,218667.83653846156,218821.43061797752
2026-08-15-m4-ac-run09,establish_channel,MLKEM768-X25519,281118.9292079759,280433.3470013929,281878.1296553432,279618.73920454545,279494.24342105264,279811.0119047619
2026-08-15-m4-ac-run09,negotiation,MLKEM1024,2.8488586152341644,2.813600995477732,2.8877446312494066,2.768807657316702,2.740738325899098,2.801562229651666
2026-08-15-m4-ac-run09,negotiation,MLKEM768,2.8315813341989617,2.8003542763186124,2.864559891565546,2.7803606257844664,2.7421075703719326,2.8086695498645096
2026-08-15-m4-ac-run09,negotiation,MLKEM768-X25519,2.7717909392839823,2.756564164292135,2.7882802063459162,2.7571162815727384,2.7325001403335905,2.7778189817927066
2026-08-15-m4-ac-run09,open_1k,MLKEM1024,6133.99320128795,6126.338304834144,6142.414403080836,6121.140128968254,6116.618993993994,6126.602564102564
2026-08-15-m4-ac-run09,open_1k,MLKEM768,6116.482088727458,6106.821529431311,6125.923700800666,6108.1625,6104.161904761905,6111.391836734694
2026-08-15-m4-ac-run09,open_1k,MLKEM768-X25519,6120.505552808322,6113.4047129002465,6129.110245300625,6108.890625,6104.91600877193,6112.623188405797
2026-08-15-m4-ac-run09,profile_resolution,MLKEM1024,14.740104441609748,14.6847138934064,14.813260189166444,14.690253275283634,14.68385380731318,14.69495947429362
2026-08-15-m4-ac-run09,profile_resolution,MLKEM768,14.300036767904869,14.27278542227416,14.329084694985957,14.276924442661699,14.268711061899706,14.295429805932871
2026-08-15-m4-ac-run09,profile_resolution,MLKEM768-X25519,12.515554495539753,12.496457497101819,12.537911520535756,12.487102751529845,12.48404315256367,12.489247047186419
2026-08-15-m4-ac-run09,seal_1k,MLKEM1024,6110.347554551155,6099.555894854933,6124.490321577114,6094.305973552211,6091.4885057471265,6099.074561403509
2026-08-15-m4-ac-run09,seal_1k,MLKEM768,6212.685536345726,6176.3360396158205,6257.623365155359,6121.9580000000005,6098.6,6189.316052631579
2026-08-15-m4-ac-run09,seal_1k,MLKEM768-X25519,6101.16652826056,6091.610503103856,6115.200444991076,6088.646505376344,6083.347826086957,6091.796875
